IPL	SignalType	--------	Frequency-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------	PRI	---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-----PW----	-----	AntScan	--------	DeleteTime	ThreatLevel	AutoWarning	EmitterNotation	EmitterName	Category	ThreatERP	PlatformNo	PlatformName1	PlatformNo	PlatformName2	PlatformNo	PlatformName3	PlatformNo	PlatformName4	PlatformNo	PlatformName5																																																																												
434	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A434Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
435	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A435Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
436	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A436Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
437	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A437Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
438	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A438Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
439	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A439Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
440	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A440Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
441	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A441Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
442	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A442Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
443	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A443Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
444	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A444Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
445	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A445Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
446	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A446Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
447	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A447Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
448	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A448Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
449	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A449Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
450	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A450Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
451	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A451Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
452	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A452Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
453	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A453Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
454	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A454Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
455	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A455Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
456	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A456Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
457	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A457Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
458	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A458Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
459	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A459Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
460	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A460Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
461	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A461Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
462	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A462Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
463	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A463Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
464	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A464Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
465	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A465Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
466	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A466Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
467	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A467Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
468	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A468Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
469	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A469Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
470	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A470Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
471	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A471Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
472	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A472Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
473	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A473Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
474	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A474Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
475	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A475Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
476	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A476Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
477	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A477Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
478	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A478Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
479	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A479Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
480	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A480Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
481	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A481Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
482	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A482Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
483	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A483Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
484	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A484Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
485	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A485Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
486	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A486Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
487	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A487Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
488	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A488Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
489	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A489Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
490	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A490Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
491	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A491Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
492	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A492Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
493	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A493Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
494	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A494Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
